"Тема","Дата начала","Время начала","Дата завершения","Время завершения","Ежедневное событие","Оповещение вкл/выкл","Дата оповещения","Время оповещения","В это время","Важность","Описание","Пометка"
"СРШІн Конс 257 КНи-09-4;КН-09-4","27.03.2013","11:15:00","27.03.2013","12:50:00","Ложь","Истина","27.03.2013","11:10:00","2","Обычная","СРШІн Конс 257 КНи-09-4;КН-09-4","Обычный"
"СРШІн Конс 255 КНи-09-4;КН-09-4","03.04.2013","11:15:00","03.04.2013","12:50:00","Ложь","Истина","03.04.2013","11:10:00","2","Обычная","СРШІн Конс 255 КНи-09-4;КН-09-4","Обычный"
"ПпП Лк 258 КНи-09-4;КН-09-3,4","06.02.2013","13:10:00","06.02.2013","14:45:00","Ложь","Истина","06.02.2013","13:05:00","2","Обычная","ПпП Лк 258 КНи-09-4;КН-09-3,4","Обычный"
"ПпП Лк 258 КНи-09-4;КН-09-3,4","13.02.2013","13:10:00","13.02.2013","14:45:00","Ложь","Истина","13.02.2013","13:05:00","2","Обычная","ПпП Лк 258 КНи-09-4;КН-09-3,4","Обычный"
"ПпП Лк 258 КНи-09-4;КН-09-3,4","20.02.2013","13:10:00","20.02.2013","14:45:00","Ложь","Истина","20.02.2013","13:05:00","2","Обычная","ПпП Лк 258 КНи-09-4;КН-09-3,4","Обычный"
"ПпП Лк 258 КНи-09-4;КН-09-3,4","27.02.2013","13:10:00","27.02.2013","14:45:00","Ложь","Истина","27.02.2013","13:05:00","2","Обычная","ПпП Лк 258 КНи-09-4;КН-09-3,4","Обычный"
"*КП і Web 2.0 (WIKI) Конс 255 *КПWeb(КНи-09-)-1; *Технологіі віддаленоі взаємодіі об"єктів (.NET Re Лк 258 *ТВВ(КН-09-)-1","06.03.2013","13:10:00","06.03.2013","14:45:00","Ложь","Истина","06.03.2013","13:05:00","2","Обычная","*КП і Web 2.0 (WIKI) Конс 255 *КПWeb(КНи-09-)-1; *Технологіі віддаленоі взаємодіі об"єктів (.NET Re Лк 258 *ТВВ(КН-09-)-1","Обычный"
"*СЕлК Лб 257 *СЕлК (КН-09)-1; *КП і Web 2.0 (WIKI) Конс 255 *КПWeb(КНи-09-)-1","13.03.2013","13:10:00","13.03.2013","14:45:00","Ложь","Истина","13.03.2013","13:05:00","2","Обычная","*СЕлК Лб 257 *СЕлК (КН-09)-1; *КП і Web 2.0 (WIKI) Конс 255 *КПWeb(КНи-09-)-1","Обычный"
"ПпП Лк 258 КНи-09-4;КН-09-3,4","20.03.2013","13:10:00","20.03.2013","14:45:00","Ложь","Истина","20.03.2013","13:05:00","2","Обычная","ПпП Лк 258 КНи-09-4;КН-09-3,4","Обычный"
"ПпП Лк 258 КНи-09-4;КН-09-3,4","27.03.2013","13:10:00","27.03.2013","14:45:00","Ложь","Истина","27.03.2013","13:05:00","2","Обычная","ПпП Лк 258 КНи-09-4;КН-09-3,4","Обычный"
"*СЕлК Лк 214 *СЕлК (КН-09)-1; *КП і Web 2.0 (WIKI) Лк 334 *КПWeb(КНи-09-)-1","06.02.2013","14:55:00","06.02.2013","16:30:00","Ложь","Истина","06.02.2013","14:50:00","2","Обычная","*СЕлК Лк 214 *СЕлК (КН-09)-1; *КП і Web 2.0 (WIKI) Лк 334 *КПWeb(КНи-09-)-1","Обычный"
"*СЕлК Лк 214 *СЕлК (КН-09)-1; *КП і Web 2.0 (WIKI) Лк 334 *КПWeb(КНи-09-)-1","13.02.2013","14:55:00","13.02.2013","16:30:00","Ложь","Истина","13.02.2013","14:50:00","2","Обычная","*СЕлК Лк 214 *СЕлК (КН-09)-1; *КП і Web 2.0 (WIKI) Лк 334 *КПWeb(КНи-09-)-1","Обычный"
"*СЕлК Лк 214 *СЕлК (КН-09)-1; *КП і Web 2.0 (WIKI) Лк 334 *КПWeb(КНи-09-)-1","20.02.2013","14:55:00","20.02.2013","16:30:00","Ложь","Истина","20.02.2013","14:50:00","2","Обычная","*СЕлК Лк 214 *СЕлК (КН-09)-1; *КП і Web 2.0 (WIKI) Лк 334 *КПWeb(КНи-09-)-1","Обычный"
"*СЕлК Лк 214 *СЕлК (КН-09)-1; *КП і Web 2.0 (WIKI) Лк 334 *КПWeb(КНи-09-)-1","27.02.2013","14:55:00","27.02.2013","16:30:00","Ложь","Истина","27.02.2013","14:50:00","2","Обычная","*СЕлК Лк 214 *СЕлК (КН-09)-1; *КП і Web 2.0 (WIKI) Лк 334 *КПWeb(КНи-09-)-1","Обычный"
"*СЕлК Лк 214 *СЕлК (КН-09)-1; *КП і Web 2.0 (WIKI) Лк 334 *КПWeb(КНи-09-)-1","06.03.2013","14:55:00","06.03.2013","16:30:00","Ложь","Истина","06.03.2013","14:50:00","2","Обычная","*СЕлК Лк 214 *СЕлК (КН-09)-1; *КП і Web 2.0 (WIKI) Лк 334 *КПWeb(КНи-09-)-1","Обычный"
"*КП і Web 2.0 (WIKI) Лк 334 *КПWeb(КНи-09-)-1; *Технологіі віддаленоі взаємодіі об"єктів (.NET Re Лб 257 *ТВВ(КН-09-)-1","13.03.2013","14:55:00","13.03.2013","16:30:00","Ложь","Истина","13.03.2013","14:50:00","2","Обычная","*КП і Web 2.0 (WIKI) Лк 334 *КПWeb(КНи-09-)-1; *Технологіі віддаленоі взаємодіі об"єктів (.NET Re Лб 257 *ТВВ(КН-09-)-1","Обычный"
"*СЕлК Лк 214 *СЕлК (КН-09)-1; *КП і Web 2.0 (WIKI) Лк 334 *КПWeb(КНи-09-)-1","20.03.2013","14:55:00","20.03.2013","16:30:00","Ложь","Истина","20.03.2013","14:50:00","2","Обычная","*СЕлК Лк 214 *СЕлК (КН-09)-1; *КП і Web 2.0 (WIKI) Лк 334 *КПWeb(КНи-09-)-1","Обычный"
"*СЕлК Конс 255 *СЕлК (КН-09)-1; *КП і Web 2.0 (WIKI) Лк 334 *КПWeb(КНи-09-)-1","27.03.2013","14:55:00","27.03.2013","16:30:00","Ложь","Истина","27.03.2013","14:50:00","2","Обычная","*СЕлК Конс 255 *СЕлК (КН-09)-1; *КП і Web 2.0 (WIKI) Лк 334 *КПWeb(КНи-09-)-1","Обычный"
"*СЕлК Лк 214 *СЕлК (КН-09)-1; *КП і Web 2.0 (WIKI) Лк 334 *КПWeb(КНи-09-)-1","06.02.2013","16:40:00","06.02.2013","18:15:00","Ложь","Истина","06.02.2013","16:35:00","2","Обычная","*СЕлК Лк 214 *СЕлК (КН-09)-1; *КП і Web 2.0 (WIKI) Лк 334 *КПWeb(КНи-09-)-1","Обычный"
"*СЕлК Лк 214 *СЕлК (КН-09)-1; *КП і Web 2.0 (WIKI) Лк 334 *КПWeb(КНи-09-)-1","13.02.2013","16:40:00","13.02.2013","18:15:00","Ложь","Истина","13.02.2013","16:35:00","2","Обычная","*СЕлК Лк 214 *СЕлК (КН-09)-1; *КП і Web 2.0 (WIKI) Лк 334 *КПWeb(КНи-09-)-1","Обычный"
"*СЕлК Лк 214 *СЕлК (КН-09)-1; *КП і Web 2.0 (WIKI) Лк 334 *КПWeb(КНи-09-)-1","20.02.2013","16:40:00","20.02.2013","18:15:00","Ложь","Истина","20.02.2013","16:35:00","2","Обычная","*СЕлК Лк 214 *СЕлК (КН-09)-1; *КП і Web 2.0 (WIKI) Лк 334 *КПWeb(КНи-09-)-1","Обычный"
"*СЕлК Лк 214 *СЕлК (КН-09)-1; *КП і Web 2.0 (WIKI) Лк 334 *КПWeb(КНи-09-)-1","27.02.2013","16:40:00","27.02.2013","18:15:00","Ложь","Истина","27.02.2013","16:35:00","2","Обычная","*СЕлК Лк 214 *СЕлК (КН-09)-1; *КП і Web 2.0 (WIKI) Лк 334 *КПWeb(КНи-09-)-1","Обычный"
"*СЕлК Лк 214 *СЕлК (КН-09)-1; *КП і Web 2.0 (WIKI) Лк 334 *КПWeb(КНи-09-)-1","06.03.2013","16:40:00","06.03.2013","18:15:00","Ложь","Истина","06.03.2013","16:35:00","2","Обычная","*СЕлК Лк 214 *СЕлК (КН-09)-1; *КП і Web 2.0 (WIKI) Лк 334 *КПWeb(КНи-09-)-1","Обычный"
"*КП і Web 2.0 (WIKI) Лк 334 *КПWeb(КНи-09-)-1; *Технологіі віддаленоі взаємодіі об"єктів (.NET Re Лб 257 *ТВВ(КН-09-)-1","13.03.2013","16:40:00","13.03.2013","18:15:00","Ложь","Истина","13.03.2013","16:35:00","2","Обычная","*КП і Web 2.0 (WIKI) Лк 334 *КПWeb(КНи-09-)-1; *Технологіі віддаленоі взаємодіі об"єктів (.NET Re Лб 257 *ТВВ(КН-09-)-1","Обычный"
"*СЕлК Конс 214 *СЕлК (КН-09)-1; *КП і Web 2.0 (WIKI) Лк 334 *КПWeb(КНи-09-)-1","20.03.2013","16:40:00","20.03.2013","18:15:00","Ложь","Истина","20.03.2013","16:35:00","2","Обычная","*СЕлК Конс 214 *СЕлК (КН-09)-1; *КП і Web 2.0 (WIKI) Лк 334 *КПWeb(КНи-09-)-1","Обычный"
"*СЕлК Конс 255 *СЕлК (КН-09)-1; *КП і Web 2.0 (WIKI) Лк 334 *КПWeb(КНи-09-)-1","27.03.2013","16:40:00","27.03.2013","18:15:00","Ложь","Истина","27.03.2013","16:35:00","2","Обычная","*СЕлК Конс 255 *СЕлК (КН-09)-1; *КП і Web 2.0 (WIKI) Лк 334 *КПWeb(КНи-09-)-1","Обычный"
"СРШІн Лк 334 КНи-09-4;КН-09-3,4","15.03.2013","9:30:00","15.03.2013","11:05:00","Ложь","Истина","15.03.2013","09:25:00","2","Обычная","СРШІн Лк 334 КНи-09-4;КН-09-3,4","Обычный"
"АНК Пз 323 ВПС-09-3;КН-09-3,4","22.03.2013","9:30:00","22.03.2013","11:05:00","Ложь","Истина","22.03.2013","09:25:00","2","Обычная","АНК Пз 323 ВПС-09-3;КН-09-3,4","Обычный"
"АНК Пз 422 ВПС-09-3;КН-09-3,4","29.03.2013","9:30:00","29.03.2013","11:05:00","Ложь","Истина","29.03.2013","09:25:00","2","Обычная","АНК Пз 422 ВПС-09-3;КН-09-3,4","Обычный"
"*КП і Web 2.0 (WIKI) Лб 257 *КПWeb(КНи-09-)-1; *Технологіі віддаленоі взаємодіі об"єктів (.NET Re Конс 255 *ТВВ(КН-09-)-1","22.02.2013","11:15:00","22.02.2013","12:50:00","Ложь","Истина","22.02.2013","11:10:00","2","Обычная","*КП і Web 2.0 (WIKI) Лб 257 *КПWeb(КНи-09-)-1; *Технологіі віддаленоі взаємодіі об"єктів (.NET Re Конс 255 *ТВВ(КН-09-)-1","Обычный"
"*СЕлК Лб 151-2 *СЕлК (КН-09)-1; *КП і Web 2.0 (WIKI) Лб 257 *КПWeb(КНи-09-)-1","01.03.2013","11:15:00","01.03.2013","12:50:00","Ложь","Истина","01.03.2013","11:10:00","2","Обычная","*СЕлК Лб 151-2 *СЕлК (КН-09)-1; *КП і Web 2.0 (WIKI) Лб 257 *КПWeb(КНи-09-)-1","Обычный"
"*КП і Web 2.0 (WIKI) Лб 257 *КПWeb(КНи-09-)-1","15.03.2013","11:15:00","15.03.2013","12:50:00","Ложь","Истина","15.03.2013","11:10:00","2","Обычная","*КП і Web 2.0 (WIKI) Лб 257 *КПWeb(КНи-09-)-1","Обычный"
"*КП і Web 2.0 (WIKI) Лб 257 *КПWeb(КНи-09-)-1","22.03.2013","11:15:00","22.03.2013","12:50:00","Ложь","Истина","22.03.2013","11:10:00","2","Обычная","*КП і Web 2.0 (WIKI) Лб 257 *КПWeb(КНи-09-)-1","Обычный"
"*СЕлК Лб 151-2 *СЕлК (КН-09)-1; *КП і Web 2.0 (WIKI) Лб 257 *КПWeb(КНи-09-)-1","29.03.2013","11:15:00","29.03.2013","12:50:00","Ложь","Истина","29.03.2013","11:10:00","2","Обычная","*СЕлК Лб 151-2 *СЕлК (КН-09)-1; *КП і Web 2.0 (WIKI) Лб 257 *КПWeb(КНи-09-)-1","Обычный"
"СРШІн ЕкзУ 255 КНи-09-4;КН-09-4","05.04.2013","11:15:00","05.04.2013","12:50:00","Ложь","Истина","05.04.2013","11:10:00","2","Обычная","СРШІн ЕкзУ 255 КНи-09-4;КН-09-4","Обычный"
"*КП і Web 2.0 (WIKI) Лб 257 *КПWeb(КНи-09-)-1","22.02.2013","13:10:00","22.02.2013","14:45:00","Ложь","Истина","22.02.2013","13:05:00","2","Обычная","*КП і Web 2.0 (WIKI) Лб 257 *КПWeb(КНи-09-)-1","Обычный"
"*СЕлК Лб 151-2 *СЕлК (КН-09)-1; *КП і Web 2.0 (WIKI) Лб 257 *КПWeb(КНи-09-)-1","01.03.2013","13:10:00","01.03.2013","14:45:00","Ложь","Истина","01.03.2013","13:05:00","2","Обычная","*СЕлК Лб 151-2 *СЕлК (КН-09)-1; *КП і Web 2.0 (WIKI) Лб 257 *КПWeb(КНи-09-)-1","Обычный"
"*КП і Web 2.0 (WIKI) Лб 257 *КПWeb(КНи-09-)-1","15.03.2013","13:10:00","15.03.2013","14:45:00","Ложь","Истина","15.03.2013","13:05:00","2","Обычная","*КП і Web 2.0 (WIKI) Лб 257 *КПWeb(КНи-09-)-1","Обычный"
"*КП і Web 2.0 (WIKI) Лб 257 *КПWeb(КНи-09-)-1","22.03.2013","13:10:00","22.03.2013","14:45:00","Ложь","Истина","22.03.2013","13:05:00","2","Обычная","*КП і Web 2.0 (WIKI) Лб 257 *КПWeb(КНи-09-)-1","Обычный"
"*СЕлК Лб 151-2 *СЕлК (КН-09)-1; *КП і Web 2.0 (WIKI) Лб 257 *КПWeb(КНи-09-)-1","29.03.2013","13:10:00","29.03.2013","14:45:00","Ложь","Истина","29.03.2013","13:05:00","2","Обычная","*СЕлК Лб 151-2 *СЕлК (КН-09)-1; *КП і Web 2.0 (WIKI) Лб 257 *КПWeb(КНи-09-)-1","Обычный"
"СРШІн ЕкзУ 255 КНи-09-4;КН-09-4","05.04.2013","13:10:00","05.04.2013","14:45:00","Ложь","Истина","05.04.2013","13:05:00","2","Обычная","СРШІн ЕкзУ 255 КНи-09-4;КН-09-4","Обычный"
"*Технологіі віддаленоі взаємодіі об"єктів (.NET Re Лк 258 *ТВВ(КН-09-)-1","08.02.2013","14:55:00","08.02.2013","16:30:00","Ложь","Истина","08.02.2013","14:50:00","2","Обычная","*Технологіі віддаленоі взаємодіі об"єктів (.NET Re Лк 258 *ТВВ(КН-09-)-1","Обычный"
"*Технологіі віддаленоі взаємодіі об"єктів (.NET Re Лк 258 *ТВВ(КН-09-)-1","15.02.2013","14:55:00","15.02.2013","16:30:00","Ложь","Истина","15.02.2013","14:50:00","2","Обычная","*Технологіі віддаленоі взаємодіі об"єктів (.NET Re Лк 258 *ТВВ(КН-09-)-1","Обычный"
"*КП і Web 2.0 (WIKI) Конс 255 *КПWeb(КНи-09-)-1; *Технологіі віддаленоі взаємодіі об"єктів (.NET Re Лк 258 *ТВВ(КН-09-)-1","22.02.2013","14:55:00","22.02.2013","16:30:00","Ложь","Истина","22.02.2013","14:50:00","2","Обычная","*КП і Web 2.0 (WIKI) Конс 255 *КПWeb(КНи-09-)-1; *Технологіі віддаленоі взаємодіі об"єктів (.NET Re Лк 258 *ТВВ(КН-09-)-1","Обычный"
"*КП і Web 2.0 (WIKI) Конс 255 *КПWeb(КНи-09-)-1; *Технологіі віддаленоі взаємодіі об"єктів (.NET Re Лб 257 *ТВВ(КН-09-)-1","01.03.2013","14:55:00","01.03.2013","16:30:00","Ложь","Истина","01.03.2013","14:50:00","2","Обычная","*КП і Web 2.0 (WIKI) Конс 255 *КПWeb(КНи-09-)-1; *Технологіі віддаленоі взаємодіі об"єктів (.NET Re Лб 257 *ТВВ(КН-09-)-1","Обычный"
"*СЕлК Лб 257 *СЕлК (КН-09)-1; *КП і Web 2.0 (WIKI) Конс 255 *КПWeb(КНи-09-)-1","15.03.2013","14:55:00","15.03.2013","16:30:00","Ложь","Истина","15.03.2013","14:50:00","2","Обычная","*СЕлК Лб 257 *СЕлК (КН-09)-1; *КП і Web 2.0 (WIKI) Конс 255 *КПWeb(КНи-09-)-1","Обычный"
